,name
0,Editor
1,Graphic Designer
2,Photographer
3,Reporter
4,Public Relation Specialists
5,Sound Engineering
6,Interpreters and Translators
7,Announcer
8,Writers and Authors
9,Producers and Directors
10,Technical Writer
11,Art Director
12,Set Designer
13,Dancers and Choreographers
14,Actor
15,Music Director
16,Aerospace Engineering
17,Agriculture Engineering
18,Media Communication and Engineering
19,Architects and Landscape Architects
20,Biomedical Engineers
21,Chemical Engineers
22,Civil Engineers
23,Management
24,Environmental Engineers
25,Health Safety Engineers
26,Industrial Engineers
27,Marine Engineers and Naval Architects
28,Material Engineers
29,Mechanical Engineers
30,Mining and Geological Engineers
31,Nuclear Engineers
32,Petroleum Engineers
33,Healthcare
34,Business and Finance
35,Community and Social Service
36,Manufacturing and Production
37,Liberal Arts and Humanities
38,Legal and Paralegal Services
39,Computer Science
40,Education
41,Transportation and Distribution
42,Visual And Performing Arts
43,Agriculture
44,Psychology
45,Technology
46,Culinary Arts and Personal Services
47,Architecture and Engineering
48,Sports
49,Biomedical Sciences
50,Civil Drafter
51,Electrical and Electronics Engineers
52,Computer and Information Research Scientists
53,Computer Programmers
54,Computer Support Specialists
55,Computer System Analysts
56,Database Administrators
57,Information and Security Analysts
58,Computer Hardware Engineers
59,Network and System Administrators
60,Computer Network Architects
61,Web Developers
62,Operations and Research Analysts
63,Bioinformatics Scientists
64,Botanist
65,Biostatistics
66,Entomologists
67,Environmental Scientists
68,Geneticists
69,Marine Biologists and Oceanographers
70,Molecular Biologist
71,Neuroscientists
72,Dietitians and Nutritionists
73,Parasitology
74,Pathology
75,Pharmacology and Toxicologist
76,Plant Scientists
77,Social Worker
78,Accountant
79,Research Analyst
80,Health Educator
81,Mental Health Counselor
82,Rehabilitation Counselors
83,School and Career Counselor
84,Substance Abuse and Behavioral Disorder Counselors
85,Probation Officers and Correctional Treatment Specialists
86,Religious Activities and Education
87,Microbiologists
88,Biochemists and Biophysicists
89,Zoologists and Wildlife Biologists
90,Epidemiologists
91,Athletic Trainers
92,Audiologists
93,Medical Records and Health Information Technicians
94,Medical Transcriptionists
95,Occupational Therapists
96,Cardiovascular Technologists
97,Chiropractors
98,Dentists
99,Diagnostic Medical Sonographer
100,EMTs and Paramedics
101,Medical and Clinical Laboratory Technologists
102,Massage Therapist
103,Occupational Therapists
104,Optometrists
105,Orthotists and Prosthetists
106,Pharmacists
107,Podiatrists
108,Veterinarians
109,Nurses
110,Psychiatrists
111,Administrative Services Managers
112,Advertising Promotions and Marketing Managers
113,Architectural Engineering Managers
114,Compensation and Benefits Managers
115,Computer and Information Systems Managers
116,Construction Managers
117,Farmers Ranchers and Other Agricultural Managers
118,Financial Managers
119,Food Service Managers
120,Human Resources Managers
121,Industrial Production Managers
122,Medical and Health Services Managers
123,Public Relations Managers
124,Sales Managers
125,Social and Community Service Managers
126,Natural Scinece Managers
127,Training and Development Managers
128,Property Real Estate or Community Association Managers
129,Lawyers or Attorneys
130,Judges
131,Paralegals and Legal Assistants
132,Court Reporters
133,Adult Literacy and GED Teachers
134,Career or Technical Education Teachers
135,High School Teachers
136,Kindergarten and Elementary School Teachers
137,Instructional Coordinators
138,Middle School Teachers
139,Postsecondary Teachers
140,Preschool Teachers
141,Special Education Teachers
142,Fashion Designers
143,Software Developers
144,Sports Officials
145,Psychologists
146,Fitness Trainers or Instructors
147,Sports Facilities Managers
148,Sports Journalists
149,Sports Psychologists
150,Child Counselors
151,Gerontologists
152,Chefs and Head Cooks
153,Animal Care and Service Workers
154,Bartenders
155,Food and Beverage Serving or Related Worker
156,Food Preparation Workers
157,Waiter or Waitress
158,Barbers Hairdressers and Cosmetologists
159,Manicurists and Pedicurists
160,Gaming Services Occupations
161,Funeral Director
162,Recreation Workers
163,Skincare Specialists
164,Travel Agent
165,Event Planner
166,Flight Attendants
167,Concierges
168,Lodging Managers
169,Tour Guides and Escorts
170,Manufacturing Engineers
171,Control System Engineer
172,Robotics Engineer
173,Air Traffic Controllers
174,Airline and Commercial Pilots
175,Bus Driver
176,Delivery Truck Drivers
177,Hand Laborers and Material Movers
178,Heavy and Tractor trailer Truck Drivers
179,Material Moving Machine Operators
180,Railroad Conductors and Yardmasters
181,Subway and Streetcar Operators
182,Taxi Drivers and Chauffeurs
183,Train Engineers and Operators
184,Water Transportation Occupations
185,Agricultural and Food Scientists
186,Food Processing Occupations
187,Agricultural and Food Science Technicians
188,Agricultural Workers
189,Accountants and Auditors
190,Appraisers and Assessors of Real Estate
191,Budget Analysts
192,Claims Adjusters Appraisers Examiners and Investigators
193,Cost Estimators
194,Financial Analysts
195,Financial Examiners
196,Human Resources Specialists
197,Insurance Underwriters
198,Loan Officers
199,Tax Examiners and Collectors and Revenue Agents
